project_name,annotator_name,pmcid,group_name,subgroup_name,count,age mean,age minimum,age maximum,age median,diagnosis,female count,male count,publication_year,title
participant_demographics,Jerome_Dockes,3447931,patients,_,20,,,,,amyotrophic lateral sclerosis,,,2012,Patterns of Spontaneous Brain Activity in Amyotrophic Lateral Sclerosis: A Resting-State fMRI Study
participant_demographics,Jerome_Dockes,9230060,patients,_,20,,,,,offenders,,20.0,2022,"Changes of Brain Structures and Psychological Characteristics in Predatory, Affective Violent and Nonviolent Offenders"
participant_demographics,Jerome_Dockes,3984441,patients,_,16,,,,,dementia with Lewy bodies,,,2014,fMRI resting state networks and their association with cognitive fluctuations in dementia with Lewy bodies.
participant_demographics,Jerome_Dockes,4174863,patients,_,157,,,,,incarcerated,157.0,,2014,Neural correlates of moral and non-moral emotion in female psychopathy
participant_demographics,Jerome_Dockes,8785614,patients,ais,26,,,,,arterial ischemic stroke,,,2021,"Frontal interhemispheric structural connectivity, attention, and executive function in children with perinatal stroke"
participant_demographics,Jerome_Dockes,9108497,healthy,_,134,5.34,5.08,5.22,,,62.0,72.0,2022,Feasibility of FreeSurfer Processing for T1-Weighted Brain Images of 5-Year-Olds: Semiautomated Protocol of FinnBrain Neuroimaging Lab
participant_demographics,Jerome_Dockes,4017227,patients,_,23,,,,,Mesial temporal lobe epilepsy,,,2014,Atypical language organization in temporal lobe epilepsy revealed by a passive semantic paradigm
participant_demographics,Jerome_Dockes,5460048,patients,_,75,19.38,18.0,23.0,,chronic dieters,75.0,,2017,A balance of activity in brain control and reward systems predicts self-regulatory outcomes
participant_demographics,Jerome_Dockes,7649291,healthy,_,12,25.8,,,,,7.0,5.0,2020,White Matter Neuroplasticity: Motor Learning Activates the Internal Capsule and Reduces Hemodynamic Response Variability
participant_demographics,Jerome_Dockes,6344389,healthy,_,16,22.5,,,,,8.0,8.0,2018,Explaining the neural activity distribution associated with discrete movement sequences: Evidence for parallel functional systems
participant_demographics,Jerome_Dockes,7430162,healthy,_,13,28.4,19.0,45.0,,,,,2020,Antero-Posterior vs. Lateral Vestibular Input Processing in Human Visual Cortex
participant_demographics,Jerome_Dockes,5390693,healthy,_,233,16.1,9.9,26.6,,,117.0,116.0,2016,Peers and parents: a comparison between neural activation when winning for friends and mothers in adolescence
participant_demographics,Jerome_Dockes,7563756,healthy,_,29,,,,,,,,2020,Partial Similarity Reveals Dynamics in Brainstem-Midbrain Networks during Trigeminal Nociception
participant_demographics,Jerome_Dockes,6016936,healthy,experiment 1,14,,,,,,,,2018,Effect of task difficulty on blood-oxygen-level-dependent signal: A functional magnetic resonance imaging study in a motion discrimination task
participant_demographics,joon_hong,6016936,healthy,_,24,,,,,,15.0,9.0,2018,Effect of task difficulty on blood-oxygen-level-dependent signal: A functional magnetic resonance imaging study in a motion discrimination task
participant_demographics,Jerome_Dockes,3334814,healthy,_,103,32.5,,,,,51.0,52.0,2012,The effects of age on cerebral activations: internally versus externally driven processes
participant_demographics,Jerome_Dockes,7005761,healthy,_,26,11.4,8.0,16.0,,,9.0,17.0,2012,Effects of the DRD4 genotype on neural networks associated with executive functions in children and adolescents
participant_demographics,Jerome_Dockes,7745153,healthy,_,46,22.61,,,,,14.0,32.0,2020,Expecting social punishment facilitates control over a decision under uncertainty by recruiting medial prefrontal cortex
participant_demographics,Jerome_Dockes,4265725,patients,_,18,30.4,,,,Autism spectrum conditions,,,2015,Lost for emotion words: What motor and limbic brain activity reveals about autism and semantic theory
participant_demographics,joon_hong,4265725,patients,ASC,18,30.4,,,,ASC,,,2015,Lost for emotion words: What motor and limbic brain activity reveals about autism and semantic theory
participant_demographics,Jerome_Dockes,5665859,healthy,_,15,,60.0,70.0,,,,,2017,A Study of the Brain Functional Network of Post-Stroke Depression in Three Different Lesion Locations
participant_demographics,Jerome_Dockes,8828908,healthy,_,216,,,,,,,,2021,Default Mode Network Alterations Induced by Childhood Trauma Correlate With Emotional Function and SLC6A4 Expression
participant_demographics,Jerome_Dockes,5460049,healthy,_,56,34.4,21.0,60.0,,,2.0,54.0,2017,Tribal love: the neural correlates of passionate engagement in football fans
participant_demographics,Jerome_Dockes,6878729,patients,_,8,,10.0,30.0,,right-sided cerebral palsy,5.0,3.0,2019,An Individualized Approach to Neuroplasticity After Early Unilateral Brain Damage
participant_demographics,Jerome_Dockes,8782893,healthy,_,79,,,,,,,,2021,An examination of the relationships between attention/deficit hyperactivity disorder symptoms and functional connectivity over time
participant_demographics,Jerome_Dockes,6347794,patients,_,38,,,,,ADHD,20.0,18.0,2019,Hyperactivity/restlessness is associated with increased functional connectivity in adults with ADHD: a dimensional analysis of resting state fMRI
participant_demographics,Jerome_Dockes,7156375,healthy,_,33,25.242,,,,,15.0,18.0,2020,Interplay between midbrain and dorsal anterior cingulate regions arbitrates lingering reward effects on memory encoding
participant_demographics,joon_hong,7156375,healthy,_,33,25.242,,,,,15.0,18.0,2020,Interplay between midbrain and dorsal anterior cingulate regions arbitrates lingering reward effects on memory encoding
participant_demographics,Jerome_Dockes,4330553,healthy,_,23,22.0,,,,,5.0,18.0,2013,Brain correlates of subjective freedom of choice
